,NMESES_DEUDA_NOR100_1M,MAX_NRO_CUOTAS_AM_8D_ATRASO_3M,AVG_DEUDA_NOR_12M,MAX_NRO_CUOTAS_AM_15D_ATRASO_3M,MAX_NRO_CUOTAS_AM_8D_ATRASO_1M,MAX_DA_VIGENTE_RCC_3M,MAX_NRO_CUOTAS_AM_15D_ATRASO_1M,NMESES_DEUDA_NOR100_12M,MAX_DEUDA_CPP_3M,CALIF_VIGENTE_RCC_1M,MAX_DEUDA_NOR_3M,TARGET_COBRANZA
2708,1.0,0.0,85.70538,0.0,0.0,3.0,0.0,11.0,0.0,0.0,100.0,0
2709,0.0,3.0,61.53846,2.0,1.0,11.0,0.0,5.0,0.0,1.0,54.918,0
2710,1.0,0.0,91.666664,0.0,0.0,0.0,0.0,11.0,0.0,0.0,100.0,0
2711,1.0,3.0,90.90909,3.0,1.0,8.0,1.0,10.0,0.0,0.0,100.0,0
2712,0.0,2.0,76.41,1.0,1.0,13.0,1.0,9.0,100.0,1.0,100.0,0
2713,0.0,0.0,85.68539,0.0,0.0,24.0,0.0,10.0,45.45,1.0,100.0,0
2714,1.0,0.0,92.30769,0.0,0.0,3.0,0.0,12.0,0.0,0.0,100.0,0
2715,1.0,0.0,92.30769,0.0,0.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2716,0.0,3.0,3.34,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2717,1.0,0.0,100.0,0.0,0.0,6.0,0.0,12.0,0.0,0.0,100.0,0
2718,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2719,1.0,3.0,92.30769,1.0,1.0,0.0,1.0,12.0,0.0,0.0,100.0,0
2720,1.0,3.0,92.30769,3.0,1.0,2.0,1.0,12.0,0.0,0.0,100.0,0
2721,1.0,1.0,92.30769,0.0,1.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2722,1.0,2.0,89.36769,1.0,1.0,3.0,1.0,10.0,0.0,0.0,100.0,0
2723,1.0,1.0,92.30769,0.0,1.0,2.0,0.0,12.0,0.0,0.0,100.0,0
2724,0.0,3.0,89.09308,3.0,1.0,0.0,1.0,0.0,0.0,0.0,95.88,1
2725,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
